audio_file,text
"audio/audio1.wav","This is an API."
"audio/audio2.wav","OAuth is an open standard for access delegation."
"audio/audio3.wav","CUDA accelerates parallel processing on GPUs."
"audio/audio4.wav","TTS stands for Text-to-Speech."
"audio/audio5.wav","RESTful APIs use HTTP for communication."
"audio/audio6.wav","JSON is a lightweight data interchange format."
"audio/audio7.wav","Machine Learning enables systems to learn from data."
"audio/audio8.wav","Deep Learning uses artificial neural networks."
"audio/audio9.wav","NLP is a subfield of artificial intelligence."
"audio/audio10.wav","SSL provides secure communication over the internet."
